time,total,car,bus,bike,truck,east_middle_road_1_queue,east_middle_road_2_queue,north_middle_road_1_queue,north_middle_road_2_queue,south_middle_road_1_queue,south_middle_road_2_queue,west_middle_road_1_queue,west_middle_road_2_queue,east_green,east_yellow,east_red,south_green,south_yellow,south_red,west_green,west_yellow,west_red,north_green,north_yellow,north_red
1770,1,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,0.5,1,10,0.5,1,10,0.5,1,10,0.5,1
1780,1,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,0.5,1,10,0.5,1,10,0.5,1,10,0.5,1
1790,2,0,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,0.5,1,10,0.5,1,10,0.5,1,10,0.5,1
1800,3,0,0,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,0.5,1,10,0.5,1,10,0.5,1,10,0.5,1
1810,2,0,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,0.5,1,10,0.5,1,10,0.5,1,10,0.5,1
1820,1,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,0.5,1,10,0.5,1,10,0.5,1,10,0.5,1
1830,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,0.5,1,10,0.5,1,10,0.5,1,10,0.5,1
1840,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,0.5,1,10,0.5,1,10,0.5,1,10,0.5,1
1850,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,0.5,1,10,0.5,1,10,0.5,1,10,0.5,1
1860,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,0.5,1,10,0.5,1,10,0.5,1,10,0.5,1
1870,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,0.5,1,10,0.5,1,10,0.5,1,10,0.5,1
1880,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,0.5,1,10,0.5,1,10,0.5,1,10,0.5,1
1890,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,0.5,1,10,0.5,1,10,0.5,1,10,0.5,1
1900,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,0.5,1,10,0.5,1,10,0.5,1,10,0.5,1
1910,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,0.5,1,10,0.5,1,10,0.5,1,10,0.5,1
