time,total,car,bus,bike,truck,east_middle_road_1_queue,east_middle_road_2_queue,north_middle_road_1_queue,north_middle_road_2_queue,south_middle_road_1_queue,south_middle_road_2_queue,west_middle_road_1_queue,west_middle_road_2_queue,east_green,east_yellow,east_red,south_green,south_yellow,south_red,west_green,west_yellow,west_red,north_green,north_yellow,north_red
350,16,4,2,8,2,0.0,0.0,1.0,1.0,5.7,1.0,5.7,13.2,10,0.5,1,10,0.5,1,10,0.5,1,10,0.5,1
360,14,3,2,7,2,0.0,1.0,1.0,1.0,0.0,0.0,10.47,13.2,10,0.5,1,10,0.5,1,10,0.5,1,10,0.5,1
370,14,3,2,7,2,0.0,1.0,1.0,1.0,0.0,0.0,10.43,13.2,10,0.5,1,10,0.5,1,10,0.5,1,10,0.5,1
380,15,3,2,8,2,0.0,1.0,1.0,1.0,0.0,0.0,10.41,17.95,10,0.5,1,10,0.5,1,10,0.5,1,10,0.5,1
390,16,3,2,9,2,0.0,1.0,1.0,1.0,0.0,0.0,10.41,17.92,10,0.5,1,10,0.5,1,10,0.5,1,10,0.5,1
400,19,3,2,12,2,0.0,1.0,1.0,1.0,0.0,0.0,10.4,25.46,10,0.5,1,10,0.5,1,10,0.5,1,10,0.5,1
410,19,3,2,12,2,0.0,1.0,1.0,1.0,0.0,0.0,10.4,25.43,10,0.5,1,10,0.5,1,10,0.5,1,10,0.5,1
420,17,3,2,10,2,0.0,1.0,10.66,1.0,0.0,0.0,10.4,25.41,10,0.5,1,10,0.5,1,10,0.5,1,10,0.5,1
430,19,3,2,12,2,1.0,1.0,10.62,1.0,0.0,0.0,10.4,25.41,10,0.5,1,10,0.5,1,10,0.5,1,10,0.5,1
440,20,3,3,12,2,1.0,5.78,10.61,1.0,0.0,0.0,10.4,25.41,10,0.5,1,10,0.5,1,10,0.5,1,10,0.5,1
450,20,2,4,12,2,1.0,5.73,10.6,1.0,0.0,0.0,10.4,25.41,10,0.5,1,10,0.5,1,10,0.5,1,10,0.5,1
460,23,2,4,14,3,1.0,5.71,20.24,1.0,0.0,0.0,17.94,25.41,10,0.5,1,10,0.5,1,10,0.5,1,10,0.5,1
470,23,2,4,14,3,1.0,5.71,20.22,1.0,0.0,0.0,17.92,25.41,10,0.5,1,10,0.5,1,10,0.5,1,10,0.5,1
480,27,2,6,16,3,1.0,5.7,20.21,1.0,0.0,0.0,22.66,25.41,10,0.5,1,10,0.5,1,10,0.5,1,10,0.5,1
490,28,3,6,17,2,5.79,5.7,20.2,1.0,0.0,0.0,22.63,25.41,10,0.5,1,10,0.5,1,10,0.5,1,10,0.5,1
500,30,3,6,19,2,5.73,5.7,24.96,1.0,0.0,0.0,27.37,25.41,10,0.5,1,10,0.5,1,10,0.5,1,10,0.5,1
510,32,3,5,21,3,5.72,5.7,24.92,1.0,0.0,0.0,27.33,25.41,10,0.5,1,10,0.5,1,10,0.5,1,10,0.5,1
520,33,3,5,22,3,5.71,10.44,32.47,1.0,0.0,0.0,27.32,25.41,10,0.5,1,10,0.5,1,10,0.5,1,10,0.5,1
530,36,4,6,23,3,5.71,10.42,32.43,8.54,0.0,0.0,27.31,25.41,10,0.5,1,10,0.5,1,10,0.5,1,10,0.5,1
540,36,4,6,24,2,10.5,10.41,32.42,8.52,0.0,0.0,27.31,25.41,10,0.5,1,10,0.5,1,10,0.5,1,10,0.5,1
550,36,3,6,25,2,10.44,17.96,32.41,8.51,0.0,0.0,27.31,25.41,10,0.5,1,10,0.5,1,10,0.5,1,10,0.5,1
560,37,3,5,27,2,10.42,17.93,32.41,8.5,0.0,0.0,27.31,25.41,10,0.5,1,10,0.5,1,10,0.5,1,10,0.5,1
570,38,3,5,28,2,15.15,25.47,32.41,8.5,0.0,0.0,27.31,25.41,10,0.5,1,10,0.5,1,10,0.5,1,10,0.5,1
580,39,3,5,29,2,15.12,25.43,32.41,8.5,0.0,0.0,27.31,25.41,10,0.5,1,10,0.5,1,10,0.5,1,10,0.5,1
590,37,3,5,27,2,19.85,30.17,32.41,8.5,0.0,0.0,27.31,25.41,10,0.5,1,10,0.5,1,10,0.5,1,10,0.5,1
600,37,3,5,27,2,24.61,34.92,32.41,8.5,0.0,0.0,27.31,25.41,10,0.5,1,10,0.5,1,10,0.5,1,10,0.5,1
610,38,3,5,28,2,24.55,34.86,32.41,8.5,0.0,0.0,27.31,25.41,10,0.5,1,10,0.5,1,10,0.5,1,10,0.5,1
620,38,2,6,28,2,24.53,34.83,32.41,8.5,0.0,0.0,27.31,25.41,10,0.5,1,10,0.5,1,10,0.5,1,10,0.5,1
630,38,2,6,28,2,24.51,34.82,32.41,13.25,0.0,0.0,27.31,25.41,10,0.5,1,10,0.5,1,10,0.5,1,10,0.5,1
640,36,2,6,26,2,24.51,34.81,32.41,13.22,0.0,0.0,27.31,25.41,10,0.5,1,10,0.5,1,10,0.5,1,10,0.5,1
650,37,3,6,26,2,24.51,34.81,32.41,13.21,0.0,0.0,27.31,25.41,10,0.5,1,10,0.5,1,10,0.5,1,10,0.5,1
660,38,3,6,27,2,24.51,34.81,32.41,13.2,0.0,0.0,27.31,25.41,10,0.5,1,10,0.5,1,10,0.5,1,10,0.5,1
670,38,2,6,28,2,24.51,34.81,32.41,17.94,0.0,0.28,27.31,25.41,10,0.5,1,10,0.5,1,10,0.5,1,10,0.5,1
680,38,2,6,28,2,24.51,34.81,32.41,17.92,0.0,0.28,27.31,25.41,10,0.5,1,10,0.5,1,10,0.5,1,10,0.5,1
690,40,2,6,30,2,24.51,34.81,32.41,17.91,0.0,0.28,27.31,25.41,10,0.5,1,10,0.5,1,10,0.5,1,10,0.5,1
700,39,2,5,29,3,24.51,34.81,32.41,17.91,0.0,0.28,27.31,25.41,10,0.5,1,10,0.5,1,10,0.5,1,10,0.5,1
710,38,2,4,29,3,29.25,34.81,32.41,17.9,0.0,0.28,27.31,25.4,10,0.5,1,10,0.5,1,10,0.5,1,10,0.5,1
720,38,2,4,29,3,29.22,34.81,32.41,17.9,1.0,5.07,0.0,0.0,10,0.5,1,10,0.5,1,10,0.5,1,10,0.5,1
730,38,2,4,29,3,33.98,34.81,32.41,17.9,1.0,5.02,0.0,0.0,10,0.5,1,10,0.5,1,10,0.5,1,10,0.5,1
740,39,2,4,30,3,33.94,34.81,32.41,17.9,1.0,5.0,0.0,0.0,10,0.5,1,10,0.5,1,10,0.5,1,10,0.5,1
750,39,2,4,30,3,33.92,34.81,32.41,17.9,1.0,4.99,0.0,0.0,10,0.5,1,10,0.5,1,10,0.5,1,10,0.5,1
760,40,3,5,29,3,33.91,34.81,32.41,22.66,1.0,4.99,0.0,0.0,10,0.5,1,10,0.5,1,10,0.5,1,10,0.5,1
770,40,2,5,30,3,33.91,34.81,32.41,22.62,1.0,4.99,0.0,0.0,10,0.5,1,10,0.5,1,10,0.5,1,10,0.5,1
780,40,2,5,30,3,33.91,34.81,32.41,32.27,1.0,4.99,0.0,0.0,10,0.5,1,10,0.5,1,10,0.5,1,10,0.5,1
790,40,2,4,31,3,33.91,34.81,32.41,32.23,1.0,4.99,0.0,0.0,10,0.5,1,10,0.5,1,10,0.5,1,10,0.5,1
800,40,3,4,30,3,33.91,34.81,32.41,32.22,1.0,4.99,0.0,0.0,10,0.5,1,10,0.5,1,10,0.5,1,10,0.5,1
810,39,2,4,30,3,33.91,34.81,32.41,32.21,1.0,4.99,0.0,0.0,10,0.5,1,10,0.5,1,10,0.5,1,10,0.5,1
820,38,2,4,28,4,33.91,34.81,32.41,32.21,1.0,4.99,0.0,0.0,10,0.5,1,10,0.5,1,10,0.5,1,10,0.5,1
830,39,3,4,28,4,33.91,34.81,32.41,32.21,1.0,4.99,0.0,0.0,10,0.5,1,10,0.5,1,10,0.5,1,10,0.5,1
840,38,2,4,28,4,33.91,34.81,32.41,32.21,1.0,4.99,0.0,0.0,10,0.5,1,10,0.5,1,10,0.5,1,10,0.5,1
850,37,2,4,26,5,33.91,34.81,32.41,32.21,1.0,4.99,0.0,0.0,10,0.5,1,10,0.5,1,10,0.5,1,10,0.5,1
860,39,3,4,27,5,33.91,34.81,32.41,32.21,1.0,4.99,0.0,0.0,10,0.5,1,10,0.5,1,10,0.5,1,10,0.5,1
870,37,1,4,27,5,33.91,34.81,32.41,32.21,1.0,4.99,0.0,0.0,10,0.5,1,10,0.5,1,10,0.5,1,10,0.5,1
880,37,2,4,26,5,33.91,34.81,32.41,32.21,1.0,4.99,0.0,0.0,10,0.5,1,10,0.5,1,10,0.5,1,10,0.5,1
890,36,2,4,26,4,33.91,34.81,32.41,32.21,1.0,4.99,0.0,0.0,10,0.5,1,10,0.5,1,10,0.5,1,10,0.5,1
900,38,3,4,27,4,33.91,34.81,32.41,32.21,1.0,4.99,0.0,0.0,10,0.5,1,10,0.5,1,10,0.5,1,10,0.5,1
910,39,3,5,26,5,33.91,34.81,32.41,32.21,1.0,4.99,0.0,0.0,10,0.5,1,10,0.5,1,10,0.5,1,10,0.5,1
920,38,3,5,26,4,33.91,34.81,32.41,32.21,1.0,4.99,0.0,0.0,10,0.5,1,10,0.5,1,10,0.5,1,10,0.5,1
930,38,2,5,27,4,33.91,34.81,32.41,32.21,1.0,4.99,0.0,0.0,10,0.5,1,10,0.5,1,10,0.5,1,10,0.5,1
940,39,2,4,28,5,33.91,34.81,32.41,32.21,1.0,4.99,0.0,0.0,10,0.5,1,10,0.5,1,10,0.5,1,10,0.5,1
950,38,1,4,29,4,33.91,34.81,32.41,32.21,1.0,4.99,0.0,0.0,10,0.5,1,10,0.5,1,10,0.5,1,10,0.5,1
960,37,1,5,27,4,33.91,34.81,32.41,32.21,1.0,4.99,0.0,0.0,10,0.5,1,10,0.5,1,10,0.5,1,10,0.5,1
970,37,0,6,27,4,33.91,34.81,32.41,32.21,1.0,4.99,0.0,0.0,10,0.5,1,10,0.5,1,10,0.5,1,10,0.5,1
980,35,0,6,26,3,33.91,34.81,32.41,32.21,1.0,4.99,0.0,0.0,10,0.5,1,10,0.5,1,10,0.5,1,10,0.5,1
990,35,0,6,26,3,33.91,34.81,32.41,32.21,1.0,4.99,0.0,0.0,10,0.5,1,10,0.5,1,10,0.5,1,10,0.5,1
1000,34,0,5,25,4,33.91,34.81,32.41,32.21,1.0,4.99,0.0,0.0,10,0.5,1,10,0.5,1,10,0.5,1,10,0.5,1
1010,33,0,5,24,4,33.91,34.81,32.41,32.21,1.0,4.99,0.0,0.0,10,0.5,1,10,0.5,1,10,0.5,1,10,0.5,1
1020,32,0,5,23,4,33.91,34.81,32.41,32.21,1.0,4.99,0.0,0.0,10,0.5,1,10,0.5,1,10,0.5,1,10,0.5,1
1030,31,0,5,22,4,33.91,34.81,32.41,32.21,1.0,4.99,0.0,0.0,10,0.5,1,10,0.5,1,10,0.5,1,10,0.5,1
1040,30,0,5,22,3,33.91,34.81,32.41,32.21,1.0,4.99,0.0,0.0,10,0.5,1,10,0.5,1,10,0.5,1,10,0.5,1
1050,30,0,5,22,3,33.91,34.81,32.41,32.21,1.0,4.99,0.0,0.0,10,0.5,1,10,0.5,1,10,0.5,1,10,0.5,1
1060,28,0,3,22,3,33.91,34.81,32.41,32.21,1.0,4.99,0.0,0.0,10,0.5,1,10,0.5,1,10,0.5,1,10,0.5,1
1070,28,0,3,22,3,33.91,34.81,32.41,32.19,1.0,4.99,0.0,0.0,10,0.5,1,10,0.5,1,10,0.5,1,10,0.5,1
1080,28,0,3,22,3,33.91,34.81,32.41,0.0,1.0,4.99,0.0,0.0,10,0.5,1,10,0.5,1,10,0.5,1,10,0.5,1
1090,27,0,3,21,3,33.91,34.81,32.39,0.0,1.0,4.99,0.0,0.0,10,0.5,1,10,0.5,1,10,0.5,1,10,0.5,1
1100,27,0,3,21,3,33.91,34.81,0.0,0.0,1.0,4.99,0.0,0.0,10,0.5,1,10,0.5,1,10,0.5,1,10,0.5,1
1110,28,0,4,21,3,33.91,34.81,0.0,0.0,1.0,4.99,0.0,0.0,10,0.5,1,10,0.5,1,10,0.5,1,10,0.5,1
1120,28,0,4,21,3,33.91,34.81,0.0,0.0,1.0,4.99,0.0,0.0,10,0.5,1,10,0.5,1,10,0.5,1,10,0.5,1
1130,27,0,3,21,3,33.91,34.81,0.0,0.0,1.0,4.99,0.0,0.0,10,0.5,1,10,0.5,1,10,0.5,1,10,0.5,1
1140,27,0,3,22,2,33.91,34.81,0.0,0.0,1.0,4.99,0.0,0.0,10,0.5,1,10,0.5,1,10,0.5,1,10,0.5,1
1150,28,1,3,22,2,33.91,34.81,0.0,0.0,1.0,4.99,0.0,0.0,10,0.5,1,10,0.5,1,10,0.5,1,10,0.5,1
1160,28,1,3,22,2,33.91,34.81,0.0,0.0,1.0,4.99,0.0,0.0,10,0.5,1,10,0.5,1,10,0.5,1,10,0.5,1
1170,25,1,3,20,1,33.91,34.81,0.0,0.0,1.0,4.99,0.0,0.0,10,0.5,1,10,0.5,1,10,0.5,1,10,0.5,1
1180,24,1,3,19,1,33.91,34.81,0.0,0.0,1.0,4.99,0.0,0.0,10,0.5,1,10,0.5,1,10,0.5,1,10,0.5,1
1190,24,1,3,19,1,33.91,34.81,0.0,0.0,1.0,4.99,0.0,0.0,10,0.5,1,10,0.5,1,10,0.5,1,10,0.5,1
1200,25,1,3,20,1,33.91,34.81,0.0,0.0,1.0,4.99,0.0,0.0,10,0.5,1,10,0.5,1,10,0.5,1,10,0.5,1
1210,25,1,3,21,0,33.91,34.81,0.0,0.0,1.0,4.99,0.0,0.0,10,0.5,1,10,0.5,1,10,0.5,1,10,0.5,1
1220,24,1,2,21,0,33.91,34.81,0.0,0.0,1.0,4.99,0.0,0.0,10,0.5,1,10,0.5,1,10,0.5,1,10,0.5,1
1230,23,1,2,20,0,33.91,34.81,0.0,0.0,1.0,4.99,0.0,0.0,10,0.5,1,10,0.5,1,10,0.5,1,10,0.5,1
1240,21,1,2,18,0,33.91,34.81,0.0,0.0,1.0,4.99,0.0,0.0,10,0.5,1,10,0.5,1,10,0.5,1,10,0.5,1
1250,21,1,2,18,0,33.91,34.81,0.0,0.0,1.0,4.99,0.0,0.0,10,0.5,1,10,0.5,1,10,0.5,1,10,0.5,1
1260,21,1,2,18,0,33.91,34.81,0.0,0.0,1.0,4.99,0.0,0.0,10,0.5,1,10,0.5,1,10,0.5,1,10,0.5,1
1270,20,0,2,18,0,33.91,34.81,0.0,0.0,1.0,4.99,0.0,0.0,10,0.5,1,10,0.5,1,10,0.5,1,10,0.5,1
1280,19,0,2,17,0,33.91,34.81,0.0,0.0,1.0,4.99,0.0,0.0,10,0.5,1,10,0.5,1,10,0.5,1,10,0.5,1
1290,19,0,2,17,0,33.91,34.81,0.0,0.0,1.0,4.99,0.0,0.0,10,0.5,1,10,0.5,1,10,0.5,1,10,0.5,1
1300,18,0,2,16,0,33.91,34.81,0.0,0.0,1.0,4.99,0.0,0.0,10,0.5,1,10,0.5,1,10,0.5,1,10,0.5,1
1310,18,0,2,16,0,33.91,34.81,0.0,0.0,1.0,4.99,0.0,0.0,10,0.5,1,10,0.5,1,10,0.5,1,10,0.5,1
1320,18,0,2,16,0,33.91,34.81,0.0,0.0,1.0,4.99,0.0,0.0,10,0.5,1,10,0.5,1,10,0.5,1,10,0.5,1
1330,18,0,2,16,0,33.91,34.81,0.0,0.0,1.0,4.99,0.0,0.0,10,0.5,1,10,0.5,1,10,0.5,1,10,0.5,1
1340,18,0,2,16,0,33.91,34.81,0.0,0.0,1.0,4.99,0.0,0.0,10,0.5,1,10,0.5,1,10,0.5,1,10,0.5,1
1350,18,0,2,16,0,33.91,34.81,0.0,0.0,1.0,4.99,0.0,0.0,10,0.5,1,10,0.5,1,10,0.5,1,10,0.5,1
1360,18,0,2,16,0,33.91,34.81,0.0,0.0,1.0,4.99,0.0,0.0,10,0.5,1,10,0.5,1,10,0.5,1,10,0.5,1
1370,18,0,2,16,0,33.91,34.81,0.0,0.0,1.0,4.99,0.0,0.0,10,0.5,1,10,0.5,1,10,0.5,1,10,0.5,1
1380,18,0,2,16,0,33.91,34.81,0.0,0.0,1.0,4.99,0.0,0.0,10,0.5,1,10,0.5,1,10,0.5,1,10,0.5,1
1390,18,0,2,16,0,33.91,34.81,0.0,0.0,1.0,4.99,0.0,0.0,10,0.5,1,10,0.5,1,10,0.5,1,10,0.5,1
1400,18,0,2,16,0,33.91,34.81,0.0,0.0,1.0,4.99,0.0,0.0,10,0.5,1,10,0.5,1,10,0.5,1,10,0.5,1
1410,17,0,2,15,0,33.91,34.81,0.0,0.0,1.0,4.99,0.0,0.0,10,0.5,1,10,0.5,1,10,0.5,1,10,0.5,1
1420,17,0,2,15,0,33.91,34.8,0.0,0.0,1.0,4.99,0.0,0.0,10,0.5,1,10,0.5,1,10,0.5,1,10,0.5,1
1430,16,0,2,14,0,33.87,0.0,0.0,0.0,1.0,4.99,0.0,0.0,10,0.5,1,10,0.5,1,10,0.5,1,10,0.5,1
1440,16,0,1,15,0,0.0,0.0,0.0,0.0,1.0,4.99,0.0,0.0,10,0.5,1,10,0.5,1,10,0.5,1,10,0.5,1
1450,17,0,1,16,0,0.0,0.0,0.0,0.0,1.0,4.99,0.0,0.0,10,0.5,1,10,0.5,1,10,0.5,1,10,0.5,1
1460,16,0,0,15,1,0.0,0.0,0.0,0.0,1.0,4.99,0.0,0.0,10,0.5,1,10,0.5,1,10,0.5,1,10,0.5,1
1470,16,0,1,14,1,0.0,0.0,0.0,0.0,1.0,4.99,0.0,0.0,10,0.5,1,10,0.5,1,10,0.5,1,10,0.5,1
1480,15,1,1,12,1,0.0,0.0,0.0,0.0,1.0,4.99,0.0,0.0,10,0.5,1,10,0.5,1,10,0.5,1,10,0.5,1
1490,14,1,2,10,1,0.0,0.0,0.0,0.0,1.0,4.99,0.0,0.0,10,0.5,1,10,0.5,1,10,0.5,1,10,0.5,1
1500,14,1,1,11,1,0.0,0.0,0.0,0.0,1.0,4.99,0.0,0.0,10,0.5,1,10,0.5,1,10,0.5,1,10,0.5,1
1510,14,1,2,10,1,0.0,0.0,0.0,0.0,1.0,4.99,0.0,0.0,10,0.5,1,10,0.5,1,10,0.5,1,10,0.5,1
1520,13,1,1,10,1,0.0,0.0,0.0,0.0,1.0,4.99,0.0,0.0,10,0.5,1,10,0.5,1,10,0.5,1,10,0.5,1
1530,14,1,1,10,2,0.0,0.0,0.0,0.0,1.0,4.99,0.0,0.0,10,0.5,1,10,0.5,1,10,0.5,1,10,0.5,1
1540,12,0,1,9,2,0.0,0.0,0.0,0.0,1.0,4.99,0.0,0.0,10,0.5,1,10,0.5,1,10,0.5,1,10,0.5,1
1550,12,0,1,9,2,0.0,0.0,0.0,0.0,1.0,4.99,0.0,0.0,10,0.5,1,10,0.5,1,10,0.5,1,10,0.5,1
1560,10,0,0,8,2,0.0,0.0,0.0,0.0,1.0,4.99,0.0,0.0,10,0.5,1,10,0.5,1,10,0.5,1,10,0.5,1
1570,10,1,0,7,2,0.0,0.0,0.0,0.0,1.0,4.99,0.0,0.0,10,0.5,1,10,0.5,1,10,0.5,1,10,0.5,1
1580,10,1,1,6,2,0.0,0.0,0.0,0.0,1.0,4.99,0.0,0.0,10,0.5,1,10,0.5,1,10,0.5,1,10,0.5,1
1590,9,2,1,5,1,0.0,0.0,0.0,0.0,1.0,4.99,0.0,0.0,10,0.5,1,10,0.5,1,10,0.5,1,10,0.5,1
1600,9,1,1,5,2,0.0,0.0,0.0,0.0,1.0,4.99,0.0,0.0,10,0.5,1,10,0.5,1,10,0.5,1,10,0.5,1
